au_sfx_update_main au_sfx_begin_video_frame
au_sfx_load_sound au_sfx_try_sound
au_sfx_manager_update au_sfx_manager_audio_frame_update
snd_set_voice_volume au_sfx_set_voice_volume
au_SEFCmd_15_SetUnkA3 au_SEFCmd_15_SetRandomUnused
au_bgm_update_main au_bgm_begin_video_frame
au_bgm_dispatch_player_event au_bgm_process_init_song
func_8004DB28 au_bgm_player_is_active
func_8004DB4C au_bgm_process_fade_out
func_8004DCB8 au_bgm_process_suspend
func_8004DE2C au_bgm_process_resume
func_8004DFD4 au_bgm_restore_copied_player
func_8004E0F4 au_bgm_adjust_volume
func_8004E444 au_bgm_update_bus_volumes
func_8004E4B8 au_bgm_player_audio_frame_update
func_8004E844 bgm_clear_custom_note_press
func_8004E880 bgm_set_tick_resolution
au_bgm_player_read_segment au_bgm_player_read_composition
au_bgm_end_segment_loop au_bgm_end_composition_loop
au_bgm_load_subsegment au_bgm_load_phrase
snd_bpm_to_tempo au_bgm_bpm_to_tempo
au_BGMCmd_E2_MasterPitchShift au_BGMCmd_E2_MasterDetune
au_BGMCmd_E9_SubTrackVolume au_BGMCmd_E9_InstrumentVolume
au_BGMCmd_F6_TrackVolumeFade au_BGMCmd_F6_InstrumentVolumeLerp
au_BGMCmd_EA_SubTrackPan au_BGMCmd_EA_InstrumentPan
au_BGMCmd_EB_SubTrackReverb au_BGMCmd_EB_InstrumentReverb
au_BGMCmd_EC_SegTrackVolume au_BGMCmd_EC_TrackVolume
au_BGMCmd_ED_SubTrackCoarseTune au_BGMCmd_ED_InstrumentCoarseTune
au_BGMCmd_EE_SubTrackFineTune au_BGMCmd_EE_InstrumentFineTune
au_BGMCmd_EF_SegTrackTune au_BGMCmd_EC_TrackDetune
au_BGMCmd_F1_TrackTremoloSpeed au_BGMCmd_F1_TrackTremoloRate
au_BGMCmd_F2_TrackTremoloTime au_BGMCmd_F2_TrackTremoloDepth
au_BGMCmd_F4 au_BGMCmd_F4_SubTrackRandomPan
au_BGMCmd_F5_TrackVoice au_BGMCmd_F5_UseInstrument
au_BGMCmd_F7_SubTrackReverbType au_BGMCmd_F7_ReverbType
au_BGMCmd_FC_Jump au_BGMCmd_FC_Branch
au_BGMCmd_FF au_BGMCmd_FF_Special
func_80050888 au_bgm_set_prox_mix_fade
func_80050900 au_bgm_reset_all_voices
func_80050970 au_bgm_set_linked_tracks
au_amb_is_stopped au_amb_check_stopped
au_amb_manager_update au_amb_manager_audio_frame_update
au_update_stopped_voices au_flush_finished_voices
func_80052E30 au_release_voice
au_update_clients_2 au_update_clients_for_audio_frame
au_syn_update au_syn_begin_audio_frame
func_80053AC8 au_fade_flush
au_fade_set_vol_scale au_fade_set_envelope
func_80053B04 au_fade_calc_envelope
func_80053BA8 au_fade_update_envelope
func_80053E58 au_unk_80053E58
func_80053F64 au_get_snapshot_by_index
func_80054248 au_get_client_by_priority
snd_load_BGM au_load_BGM
func_80054AA0 au_load_static_BK_to_bank
func_80054CE0 au_set_bus_volume_level
func_80054D74 au_set_reverb_type
func_80054DA8 au_sync_channel_delay_enabled
func_80055050 snd_notify_engine_ready
func_80055068 snd_legacy_sound_dispatch
func_80055110 snd_bgm_clear_legacy_commands
func_8005513C snd_bgm_enqueue_legacy_command
snd_ambient_mute snd_ambient_fade_out
snd_ambient_80055760 snd_ambient_radio_setup
snd_ambient_stop_all snd_ambient_radio_stop
snd_ambient_play_only snd_ambient_radio_select
au_song_load snd_song_load
au_song_start snd_song_request_play_default
au_song_start_variation snd_song_request_play
au_song_stop snd_song_stop
au_stop_songs snd_song_stop_all
au_song_is_playing snd_song_is_playing
snd_set_song_variation_fade snd_song_request_fade_in
snd_set_song_fade snd_song_request_fade_in_default
snd_set_song_variation_fade_time snd_song_request_fade_out
func_80055AF0 snd_song_UNK_push_stop
func_80055B28 snd_song_UNK_request_pop
func_80055BB8 snd_song_UNK_request_push_fade_out
func_80055BF0 snd_song_request_pause
func_80055C2C snd_song_request_unpause
func_80055C64 snd_song_set_volume_quiet
func_80055C94 snd_song_set_volume_full
snd_set_song_variation snd_song_set_linked_mode
bgm_set_proximity_mix_far snd_song_set_proximity_mix_far
bgm_set_proximity_mix_near snd_song_set_proximity_mix_near
bgm_set_proximity_mix_full snd_song_set_proximity_mix_full
bgm_poll_music_events snd_song_poll_music_events
bgm_flush_music_events snd_song_flush_music_events
music_event_trigger snd_song_trigger_music_event
func_8005610C snd_song_clear_music_events
func_80056144 snd_register_callback
audio_set_stereo snd_set_stereo
audio_set_mono snd_set_mono
func_800561A4 snd_set_bgm_volume
func_800561C4 snd_set_sfx_volume
func_800561E4 snd_set_sfx_reverb_type
enable_sounds snd_enable_sfx
disable_sounds snd_disable_sfx
au_delay_channel au_init_delay_channel
func_80058E84 au_fx_create
func_80058F88 au_filter_create
func_80059008 au_filter_init
func_8005904C au_fx_load_preset
_saveBuffer _loadDelayLineBuffer
func_80059BD4 updateTriangleModulation
D_80078DB4 SoundEngineReady
D_80078DB8 TrackVols_JAN_Full
D_80078DC4 TrackVols_Unused1
D_80078DCC TrackVols_TIK_Shiver
D_80078DD0 TrackVols_Unused3
D_8010D644 PopupDelayTime
D_8010D67C PopupWinX
D_8010D67E PopupWinY
D_8010D680 PopupDescX
D_8010D682 PopupDescY
D_8010D684 PopupPromptX
D_8010D686 PopupPromptY
D_8010D692 PopupDelayLength
popup_menu_draw_menu_contents popup_draw_menu_content
popup_menu_draw_title_contents popup_draw_title_content
func_800F48F4 popup_draw_desc_content
func_800F4944 popup_draw_prompt_content
func_800F4C1C popup_draw_dip_query_content
func_800F4D28 popup_draw_star_pieces_content
spr_allocateBtlComponentsOnWorldHeap SpriteUseGeneralHeap
D_802DF540 CurSpriteImgFX
spr_playerSprites PlayerSprites
D_802DF57C CurPlayerSpriteIndex
